rsi_range,bb_position,0,market
과매도,middle,0.377,KRW-AUCTION
과매도,upper,0.291,KRW-AUCTION
중립,lower,0.325,KRW-AUCTION
중립,middle,0.24,KRW-AUCTION
중립,upper,0.302,KRW-AUCTION
과매수,lower,0.333,KRW-AUCTION
과매수,middle,0.5,KRW-AUCTION
과매도,middle,0.333,KRW-BIGTIME
과매도,upper,0.297,KRW-BIGTIME
중립,lower,0.278,KRW-BIGTIME
중립,middle,0.232,KRW-BIGTIME
중립,upper,0.286,KRW-BIGTIME
과매수,lower,0.167,KRW-BIGTIME
과매수,middle,0.667,KRW-BIGTIME
과매도,middle,0.0,KRW-STPT
과매도,upper,0.316,KRW-STPT
중립,lower,0.353,KRW-STPT
중립,middle,0.303,KRW-STPT
중립,upper,0.357,KRW-STPT
과매수,lower,0.35,KRW-STPT
과매수,middle,0.242,KRW-STPT
과매도,middle,0.333,KRW-AVAX
과매도,upper,0.188,KRW-AVAX
중립,lower,0.231,KRW-AVAX
중립,middle,0.23,KRW-AVAX
중립,upper,0.119,KRW-AVAX
과매수,lower,0.385,KRW-AVAX
과매수,middle,0.0,KRW-AVAX
과매도,middle,0.515,KRW-F
과매도,upper,0.493,KRW-F
중립,lower,0.48,KRW-F
중립,middle,0.407,KRW-F
중립,upper,0.483,KRW-F
과매수,lower,0.58,KRW-F
과매수,middle,0.364,KRW-F
과매도,middle,0.0,KRW-HBAR
과매도,upper,1.0,KRW-HBAR
중립,lower,0.049,KRW-HBAR
중립,middle,0.029,KRW-HBAR
중립,upper,0.018,KRW-HBAR
과매수,lower,0.138,KRW-HBAR
과매수,middle,0.029,KRW-HBAR
중립,lower,0.185,KRW-TRUMP
중립,middle,0.24,KRW-TRUMP
중립,upper,0.174,KRW-TRUMP
과매수,lower,0.2,KRW-TRUMP
과매수,middle,0.0,KRW-TRUMP
과매도,middle,0.267,KRW-SOL
과매도,upper,0.273,KRW-SOL
중립,lower,0.244,KRW-SOL
중립,middle,0.189,KRW-SOL
중립,upper,0.244,KRW-SOL
과매수,lower,0.444,KRW-SOL
과매수,middle,0.333,KRW-SOL
중립,lower,0.143,KRW-ARKM
중립,middle,0.571,KRW-ARKM
중립,upper,0.308,KRW-ARKM
과매수,lower,0.2,KRW-ARKM
과매수,middle,1.0,KRW-ARKM
과매도,middle,0.319,KRW-XRP
과매도,upper,0.595,KRW-XRP
중립,lower,0.372,KRW-XRP
중립,middle,0.322,KRW-XRP
중립,upper,0.371,KRW-XRP
과매수,lower,0.417,KRW-XRP
과매수,middle,0.265,KRW-XRP
과매도,middle,0.571,KRW-MEW
과매도,upper,0.302,KRW-MEW
중립,lower,0.319,KRW-MEW
중립,middle,0.273,KRW-MEW
중립,upper,0.232,KRW-MEW
과매수,lower,0.13,KRW-MEW
