,,,price,price,volume,paid_fee
,,,count,mean,mean,sum
market,bb_position,side,,,,
KRW-AAVE,middle,ask,1,194100.0,0.21,16.23
KRW-AAVE,middle,bid,1,198600.0,0.44,34.62
KRW-AAVE,upper,ask,2,199300.0,2.99,476.42
KRW-AAVE,upper,bid,1,200000.0,5.7,339.97
KRW-ADA,middle,ask,18,911.44,207.12,1360.41
KRW-ADA,middle,bid,5,897.6,285.22,511.91
KRW-ADA,upper,ask,6,911.83,297.59,647.54
KRW-ADA,upper,bid,1,915.0,210.25,76.95
KRW-APT,middle,ask,1,7030.0,4.75,13.36
KRW-APT,upper,ask,2,6907.5,5.14,28.39
KRW-ATH,upper,ask,1,47.06,1005.18,18.92
KRW-ATH,upper,bid,2,46.49,874.57,32.58
KRW-AUCTION,middle,ask,17,20498.82,6.04,817.03
KRW-AUCTION,middle,bid,12,20568.33,6.62,651.9
KRW-AUCTION,upper,ask,57,19752.98,6.43,2704.53
KRW-AUCTION,upper,bid,58,19774.31,5.97,2589.05
KRW-AVAX,middle,ask,1,27170.0,0.72,7.81
KRW-AVAX,upper,ask,1,26640.0,3.04,32.43
KRW-AVAX,upper,bid,2,26640.0,3.04,64.87
KRW-BIGTIME,middle,ask,6,96.5,1651.04,382.32
KRW-BIGTIME,middle,bid,5,96.05,1406.55,269.9
KRW-BIGTIME,upper,ask,11,94.44,1510.93,627.99
KRW-BIGTIME,upper,bid,8,94.86,1629.37,431.19
KRW-BTC,middle,ask,4,118496250.0,0.0,23.68
KRW-BTC,middle,bid,2,118501500.0,0.0,9.47
KRW-BTC,upper,ask,5,118585600.0,0.0,28.47
KRW-BTC,upper,bid,2,119529500.0,0.0,9.55
KRW-CSPR,middle,bid,2,14.28,6861.06,78.43
KRW-CSPR,upper,ask,2,14.52,6993.08,82.03
KRW-EOS,middle,ask,13,965.77,351.76,1768.4
KRW-EOS,middle,bid,14,962.64,279.85,1506.49
KRW-EOS,upper,ask,19,962.74,611.53,4453.14
KRW-EOS,upper,bid,46,953.35,404.08,7131.07
KRW-F,middle,ask,9,21.29,3186.7,242.79
KRW-F,middle,bid,8,21.04,3850.83,233.49
KRW-F,upper,ask,57,20.77,2824.98,1334.94
KRW-F,upper,bid,50,20.74,2932.83,1216.21
KRW-HBAR,upper,ask,1,250.0,786.0,76.6
KRW-LEVER,middle,bid,1,0.66,853101.76,226.17
KRW-LEVER,upper,ask,2,0.64,444952.68,227.87
KRW-LEVER,upper,bid,1,0.65,874125.87,227.83
KRW-MEW,middle,ask,2,3.3,20786.16,55.09
KRW-MEW,middle,bid,2,3.26,33554.27,87.6
KRW-MEW,upper,ask,8,3.28,27825.78,291.82
KRW-MEW,upper,bid,8,3.26,31413.49,328.04
KRW-NCT,middle,bid,1,23.75,620.51,5.89
KRW-NEAR,middle,ask,2,2973.0,24.52,57.88
KRW-PENGU,middle,ask,1,6.33,19146.68,48.49
KRW-PENGU,middle,bid,1,6.32,20483.41,51.82
KRW-PENGU,upper,ask,1,6.36,19693.89,50.12
KRW-PENGU,upper,bid,1,6.35,19948.62,50.63
KRW-RENDER,middle,ask,3,5265.0,21.34,134.78
KRW-RENDER,middle,bid,5,5245.0,22.56,185.29
KRW-RENDER,upper,ask,5,5208.0,23.98,249.62
KRW-RENDER,upper,bid,4,5227.5,21.64,181.49
KRW-ROA,middle,bid,1,13.1,18802.41,98.52
KRW-SOL,middle,ask,2,167700.0,6.86,920.8
KRW-SOL,middle,bid,2,166050.0,0.58,76.52
KRW-SOL,upper,ask,2,168050.0,4.13,554.94
KRW-SOL,upper,bid,1,167900.0,1.0,67.16
KRW-STPT,upper,ask,4,65.08,1343.6,138.97
KRW-STPT,upper,bid,2,65.02,1804.48,93.97
KRW-STX,middle,bid,1,910.0,404.67,147.3
KRW-STX,upper,ask,1,873.0,495.5,173.02
KRW-SUI,middle,ask,1,3195.0,45.57,58.24
KRW-SUI,upper,ask,1,3131.0,42.86,53.67
KRW-SUI,upper,bid,1,3134.0,42.86,53.72
KRW-SWELL,middle,bid,1,12.24,5232.31,0.0
KRW-TIA,upper,bid,1,3671.0,2.8,4.11
KRW-UNI,middle,ask,1,7555.0,28.82,87.08
KRW-VIRTUAL,middle,ask,1,673.0,325.75,87.69
KRW-XPR,middle,ask,1,5.44,8206.84,17.84
KRW-XPR,middle,bid,1,5.44,8206.84,17.84
KRW-XPR,upper,ask,27,5.52,27529.09,1523.24
KRW-XPR,upper,bid,21,5.53,30966.19,1220.52
KRW-XRP,middle,ask,9,2936.0,202.21,1848.59
KRW-XRP,middle,bid,14,2946.86,588.44,9619.88
KRW-XRP,upper,ask,16,2937.5,414.27,7788.81
KRW-XRP,upper,bid,6,2958.33,373.31,2659.73
